aircraft_registration,aircraft_manufacture_date,aircraft_status
VT-JAA001,2015-09-11,ACTIVE
VT-JAA002,2017-04-11,ACTIVE
VT-JAA003,2019-03-19,ACTIVE
VT-JAA004,2019-07-18,ACTIVE
VT-JAA005,2020-03-02,ACTIVE
VT-JAA006,2020-08-15,STORAGE
VT-JAA007,2020-09-08,ACTIVE
VT-JAA008,2020-11-04,MAINTENANCE
VT-JAA009,2020-12-15,ACTIVE
VT-JAA010,2020-12-16,ACTIVE
VT-JAA011,2020-12-17,ACTIVE
VT-JAA012,2020-12-30,RETIRED
VT-JAA013,2020-12-30,ACTIVE
VT-JAA014,2020-12-30,ACTIVE
VT-JAA015,2020-12-30,ACTIVE
VT-JAA016,2020-12-30,ACTIVE
VT-JAA017,2020-12-30,RETIRED
VT-JAA018,2020-12-30,ACTIVE
VT-JAA019,2020-12-30,STORAGE
VT-JAA020,2020-12-30,ACTIVE
VT-JAA021,2020-12-30,ACTIVE
VT-JAA022,2020-12-30,ACTIVE
VT-JAA023,2020-12-30,ACTIVE
VT-JAA024,2020-12-30,ACTIVE
VT-JAA025,2020-12-30,ACTIVE
VT-JAA026,2020-12-30,ACTIVE
VT-JAA027,2020-12-30,ACTIVE
VT-JAA028,2020-12-30,STORAGE
VT-JAA029,2020-12-30,ACTIVE
VT-JAA030,2020-12-30,ACTIVE
