engine_serial_number,engine_model,engine_family,engine_manufacturer,engine_manufacture_date,engine_status
ESN700001,CFM56-7B26,CFM56,CFM International,2020-10-11,INSTALLED
ESN700002,CFM56-7B26,CFM56,CFM International,2021-11-17,INSTALLED
ESN700003,CFM56-7B26,CFM56,CFM International,2022-08-03,INSTALLED
ESN700004,CFM56-7B24,CFM56,CFM International,2022-10-23,SHOP
ESN700005,CFM56-7B27,CFM56,CFM International,2022-10-28,INSTALLED
ESN700006,CFM56-7B27,CFM56,CFM International,2022-12-08,INSTALLED
ESN700007,CFM56-7B24,CFM56,CFM International,2022-12-28,SPARE
ESN700008,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700009,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700010,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700011,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700012,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700013,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700014,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700015,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700016,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700017,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700018,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700019,CFM56-7B27,CFM56,CFM International,2022-12-30,INSTALLED
ESN700020,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700021,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700022,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700023,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700024,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700025,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700026,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700027,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700028,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700029,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700030,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700031,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700032,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700033,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700034,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700035,CFM56-7B26,CFM56,CFM International,2022-12-30,SPARE
ESN700036,CFM56-7B24,CFM56,CFM International,2022-12-30,SPARE
ESN700037,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700038,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700039,CFM56-7B27,CFM56,CFM International,2022-12-30,PRESERVED
ESN700040,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700041,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700042,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700043,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700044,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700045,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700046,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700047,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700048,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700049,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700050,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700051,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700052,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700053,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700054,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700055,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700056,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700057,CFM56-7B24,CFM56,CFM International,2022-12-30,INSTALLED
ESN700058,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
ESN700059,CFM56-7B27,CFM56,CFM International,2022-12-30,INSTALLED
ESN700060,CFM56-7B26,CFM56,CFM International,2022-12-30,INSTALLED
