inventory_id,component_serial_number,component_id,component_name,engine_serial_number,manufacture_date,installation_date,position,installation_type,status
INV0000001,CSN900001,CMP001,Fan Disk,ESN700001,2018-10-17,2021-03-08,CENTER,NEW,ACTIVE
INV0000002,CSN900002,CMP002,Fan Shaft,ESN700001,2019-05-25,2020-12-07,CENTER,NEW,ACTIVE
INV0000003,CSN900003,CMP005,Fan Case,ESN700001,2020-10-05,2021-02-10,CENTER,NEW,ACTIVE
INV0000004,CSN900004,CMP006,Spinner Cone,ESN700001,2019-06-20,2021-03-25,CENTER,NEW,ACTIVE
INV0000005,CSN900005,CMP007,Booster Rotor,ESN700001,2019-05-17,2021-03-28,CENTER,NEW,ACTIVE
INV0000006,CSN900006,CMP009,Booster Stator Assembly,ESN700001,2020-08-15,2020-10-20,CENTER,NEW,ACTIVE
INV0000007,CSN900007,CMP010,Booster Case,ESN700001,2020-02-19,2020-11-08,CENTER,NEW,ACTIVE
INV0000008,CSN900008,CMP011,HPC Stage 1 Disk,ESN700001,2019-06-18,2020-11-25,STAGE1,NEW,ACTIVE
INV0000009,CSN900009,CMP012,HPC Stage 2 Disk,ESN700001,2019-01-25,2020-12-01,STAGE2,NEW,ACTIVE
INV0000010,CSN900010,CMP013,HPC Stage 3 Disk,ESN700001,2019-12-25,2021-03-20,STAGE3,NEW,ACTIVE
INV0000011,CSN900011,CMP014,HPC Stage 4 Disk,ESN700001,2019-12-02,2021-03-11,STAGE4,NEW,ACTIVE
INV0000012,CSN900012,CMP015,HPC Stage 5 Disk,ESN700001,2020-06-02,2021-03-14,STAGE5,NEW,ACTIVE
INV0000013,CSN900013,CMP016,HPC Rotor Shaft,ESN700001,2018-10-18,2021-01-04,CENTER,NEW,ACTIVE
INV0000014,CSN900014,CMP018,Variable Stator Vane Assembly,ESN700001,2019-01-24,2021-01-05,CENTER,NEW,ACTIVE
INV0000015,CSN900015,CMP019,HPC Case,ESN700001,2020-05-31,2020-12-10,CENTER,NEW,ACTIVE
INV0000016,CSN900016,CMP020,Combustor Liner,ESN700001,2018-11-07,2021-02-21,CENTER,NEW,ACTIVE
