installation_id,aircraft_registration,engine_serial_number,engine_position
1,VT-JAA001,ESN700001,ENG1
2,VT-JAA001,ESN700002,ENG2
3,VT-JAA002,ESN700003,ENG1
4,VT-JAA002,ESN700005,ENG2
5,VT-JAA003,ESN700006,ENG1
6,VT-JAA003,ESN700008,ENG2
7,VT-JAA004,ESN700010,ENG1
8,VT-JAA004,ESN700011,ENG2
9,VT-JAA005,ESN700012,ENG1
10,VT-JAA005,ESN700013,ENG2
11,VT-JAA007,ESN700016,ENG1
12,VT-JAA007,ESN700018,ENG2
13,VT-JAA008,ESN700019,ENG1
14,VT-JAA008,ESN700020,ENG2
15,VT-JAA009,ESN700021,ENG1
16,VT-JAA009,ESN700022,ENG2
17,VT-JAA010,ESN700024,ENG1
18,VT-JAA010,ESN700025,ENG2
19,VT-JAA011,ESN700026,ENG1
20,VT-JAA011,ESN700027,ENG2
21,VT-JAA013,ESN700028,ENG1
22,VT-JAA013,ESN700029,ENG2
23,VT-JAA014,ESN700030,ENG1
24,VT-JAA014,ESN700031,ENG2
25,VT-JAA015,ESN700032,ENG1
26,VT-JAA015,ESN700033,ENG2
27,VT-JAA016,ESN700034,ENG1
28,VT-JAA016,ESN700037,ENG2
29,VT-JAA018,ESN700038,ENG1
30,VT-JAA018,ESN700040,ENG2
31,VT-JAA020,ESN700041,ENG1
32,VT-JAA020,ESN700042,ENG2
33,VT-JAA021,ESN700043,ENG1
34,VT-JAA021,ESN700044,ENG2
35,VT-JAA022,ESN700045,ENG1
36,VT-JAA022,ESN700046,ENG2
37,VT-JAA023,ESN700047,ENG1
38,VT-JAA023,ESN700048,ENG2
39,VT-JAA024,ESN700049,ENG1
40,VT-JAA024,ESN700050,ENG2
41,VT-JAA025,ESN700051,ENG1
42,VT-JAA025,ESN700052,ENG2
43,VT-JAA026,ESN700053,ENG1
44,VT-JAA026,ESN700054,ENG2
45,VT-JAA027,ESN700055,ENG1
46,VT-JAA027,ESN700056,ENG2
47,VT-JAA029,ESN700057,ENG1
48,VT-JAA029,ESN700058,ENG2
49,VT-JAA030,ESN700059,ENG1
50,VT-JAA030,ESN700060,ENG2
