utilization_id,utilization_date,flight_id,engine_serial_number,aircraft_registration,flight_hours,flight_cycles,cumulative_engine_hours,cumulative_engine_cycles,engine_status
UTL0000001,2025-01-01,11803,ESN700001,VT-JAA001,1.25,1,1.25,1,INSTALLED
UTL0000002,2025-01-01,11803,ESN700002,VT-JAA001,1.25,1,1.25,1,INSTALLED
UTL0000003,2025-01-01,18645,ESN700003,VT-JAA002,2.17,1,2.17,1,INSTALLED
UTL0000004,2025-01-01,18645,ESN700005,VT-JAA002,2.17,1,2.17,1,INSTALLED
UTL0000005,2025-01-01,4410,ESN700006,VT-JAA003,4.25,1,4.25,1,INSTALLED
UTL0000006,2025-01-01,4410,ESN700008,VT-JAA003,4.25,1,4.25,1,INSTALLED
UTL0000007,2025-01-01,6056,ESN700006,VT-JAA003,3.83,1,8.08,2,INSTALLED
UTL0000008,2025-01-01,6056,ESN700008,VT-JAA003,3.83,1,8.08,2,INSTALLED
UTL0000009,2025-01-01,11927,ESN700006,VT-JAA003,4.0,1,12.08,3,INSTALLED
UTL0000010,2025-01-01,11927,ESN700008,VT-JAA003,4.0,1,12.08,3,INSTALLED
UTL0000011,2025-01-01,9335,ESN700012,VT-JAA005,1.0,1,1.0,1,INSTALLED
UTL0000012,2025-01-01,9335,ESN700013,VT-JAA005,1.0,1,1.0,1,INSTALLED
UTL0000013,2025-01-01,21055,ESN700016,VT-JAA007,3.67,1,3.67,1,INSTALLED
UTL0000014,2025-01-01,21055,ESN700018,VT-JAA007,3.67,1,3.67,1,INSTALLED
UTL0000015,2025-01-01,6907,ESN700021,VT-JAA009,2.5,1,2.5,1,INSTALLED
UTL0000016,2025-01-01,6907,ESN700022,VT-JAA009,2.5,1,2.5,1,INSTALLED
UTL0000017,2025-01-01,11973,ESN700021,VT-JAA009,2.17,1,4.67,2,INSTALLED
UTL0000018,2025-01-01,11973,ESN700022,VT-JAA009,2.17,1,4.67,2,INSTALLED
UTL0000019,2025-01-01,12603,ESN700021,VT-JAA009,1.0,1,5.67,3,INSTALLED
UTL0000020,2025-01-01,12603,ESN700022,VT-JAA009,1.0,1,5.67,3,INSTALLED
UTL0000021,2025-01-01,16832,ESN700021,VT-JAA009,1.5,1,7.17,4,INSTALLED
UTL0000022,2025-01-01,16832,ESN700022,VT-JAA009,1.5,1,7.17,4,INSTALLED
UTL0000023,2025-01-01,4626,ESN700024,VT-JAA010,1.92,1,1.92,1,INSTALLED
UTL0000024,2025-01-01,4626,ESN700025,VT-JAA010,1.92,1,1.92,1,INSTALLED
UTL0000025,2025-01-01,10795,ESN700024,VT-JAA010,1.0,1,2.92,2,INSTALLED
UTL0000026,2025-01-01,10795,ESN700025,VT-JAA010,1.0,1,2.92,2,INSTALLED
UTL0000027,2025-01-01,15147,ESN700024,VT-JAA010,1.25,1,4.17,3,INSTALLED
UTL0000028,2025-01-01,15147,ESN700025,VT-JAA010,1.25,1,4.17,3,INSTALLED
UTL0000029,2025-01-01,15741,ESN700024,VT-JAA010,1.5,1,5.67,4,INSTALLED
UTL0000030,2025-01-01,15741,ESN700025,VT-JAA010,1.5,1,5.67,4,INSTALLED
UTL0000031,2025-01-01,22357,ESN700024,VT-JAA010,0.67,1,6.33,5,INSTALLED
UTL0000032,2025-01-01,22357,ESN700025,VT-JAA010,0.67,1,6.33,5,INSTALLED
UTL0000033,2025-01-01,23331,ESN700024,VT-JAA010,2.08,1,8.42,6,INSTALLED
UTL0000034,2025-01-01,23331,ESN700025,VT-JAA010,2.08,1,8.42,6,INSTALLED
UTL0000035,2025-01-01,21036,ESN700026,VT-JAA011,1.08,1,1.08,1,INSTALLED
UTL0000036,2025-01-01,21036,ESN700027,VT-JAA011,1.08,1,1.08,1,INSTALLED
UTL0000037,2025-01-01,23545,ESN700026,VT-JAA011,1.5,1,2.58,2,INSTALLED
UTL0000038,2025-01-01,23545,ESN700027,VT-JAA011,1.5,1,2.58,2,INSTALLED
UTL0000039,2025-01-01,13271,ESN700028,VT-JAA013,3.75,1,3.75,1,INSTALLED
UTL0000040,2025-01-01,13271,ESN700029,VT-JAA013,3.75,1,3.75,1,INSTALLED
UTL0000041,2025-01-01,20361,ESN700030,VT-JAA014,2.17,1,2.17,1,INSTALLED
UTL0000042,2025-01-01,20361,ESN700031,VT-JAA014,2.17,1,2.17,1,INSTALLED
UTL0000043,2025-01-01,3224,ESN700032,VT-JAA015,1.58,1,1.58,1,INSTALLED
UTL0000044,2025-01-01,3224,ESN700033,VT-JAA015,1.58,1,1.58,1,INSTALLED
UTL0000045,2025-01-01,4097,ESN700032,VT-JAA015,1.5,1,3.08,2,INSTALLED
UTL0000046,2025-01-01,4097,ESN700033,VT-JAA015,1.5,1,3.08,2,INSTALLED
UTL0000047,2025-01-01,6241,ESN700032,VT-JAA015,0.75,1,3.83,3,INSTALLED
UTL0000048,2025-01-01,6241,ESN700033,VT-JAA015,0.75,1,3.83,3,INSTALLED
UTL0000049,2025-01-01,3890,ESN700034,VT-JAA016,1.25,1,1.25,1,INSTALLED
UTL0000050,2025-01-01,3890,ESN700037,VT-JAA016,1.25,1,1.25,1,INSTALLED
UTL0000051,2025-01-01,10057,ESN700034,VT-JAA016,0.83,1,2.08,2,INSTALLED
UTL0000052,2025-01-01,10057,ESN700037,VT-JAA016,0.83,1,2.08,2,INSTALLED
UTL0000053,2025-01-01,23409,ESN700034,VT-JAA016,1.0,1,3.08,3,INSTALLED
UTL0000054,2025-01-01,23409,ESN700037,VT-JAA016,1.0,1,3.08,3,INSTALLED
UTL0000055,2025-01-01,18055,ESN700038,VT-JAA018,0.75,1,0.75,1,INSTALLED
UTL0000056,2025-01-01,18055,ESN700040,VT-JAA018,0.75,1,0.75,1,INSTALLED
UTL0000057,2025-01-01,19270,ESN700038,VT-JAA018,1.0,1,1.75,2,INSTALLED
UTL0000058,2025-01-01,19270,ESN700040,VT-JAA018,1.0,1,1.75,2,INSTALLED
UTL0000059,2025-01-01,22258,ESN700038,VT-JAA018,2.17,1,3.92,3,INSTALLED
UTL0000060,2025-01-01,22258,ESN700040,VT-JAA018,2.17,1,3.92,3,INSTALLED
UTL0000061,2025-01-01,7808,ESN700041,VT-JAA020,2.5,1,2.5,1,INSTALLED
UTL0000062,2025-01-01,7808,ESN700042,VT-JAA020,2.5,1,2.5,1,INSTALLED
UTL0000063,2025-01-01,13646,ESN700041,VT-JAA020,2.08,1,4.58,2,INSTALLED
UTL0000064,2025-01-01,13646,ESN700042,VT-JAA020,2.08,1,4.58,2,INSTALLED
UTL0000065,2025-01-01,15758,ESN700043,VT-JAA021,3.83,1,3.83,1,INSTALLED
UTL0000066,2025-01-01,15758,ESN700044,VT-JAA021,3.83,1,3.83,1,INSTALLED
UTL0000067,2025-01-01,7806,ESN700047,VT-JAA023,3.75,1,3.75,1,INSTALLED
UTL0000068,2025-01-01,7806,ESN700048,VT-JAA023,3.75,1,3.75,1,INSTALLED
UTL0000069,2025-01-01,11943,ESN700047,VT-JAA023,2.17,1,5.92,2,INSTALLED
UTL0000070,2025-01-01,11943,ESN700048,VT-JAA023,2.17,1,5.92,2,INSTALLED
UTL0000071,2025-01-01,15498,ESN700047,VT-JAA023,1.0,1,6.92,3,INSTALLED
UTL0000072,2025-01-01,15498,ESN700048,VT-JAA023,1.0,1,6.92,3,INSTALLED
UTL0000073,2025-01-01,17870,ESN700049,VT-JAA024,1.5,1,1.5,1,INSTALLED
UTL0000074,2025-01-01,17870,ESN700050,VT-JAA024,1.5,1,1.5,1,INSTALLED
UTL0000075,2025-01-01,14950,ESN700051,VT-JAA025,2.42,1,2.42,1,INSTALLED
UTL0000076,2025-01-01,14950,ESN700052,VT-JAA025,2.42,1,2.42,1,INSTALLED
UTL0000077,2025-01-01,19802,ESN700051,VT-JAA025,2.17,1,4.58,2,INSTALLED
UTL0000078,2025-01-01,19802,ESN700052,VT-JAA025,2.17,1,4.58,2,INSTALLED
UTL0000079,2025-01-01,8998,ESN700053,VT-JAA026,1.5,1,1.5,1,INSTALLED
UTL0000080,2025-01-01,8998,ESN700054,VT-JAA026,1.5,1,1.5,1,INSTALLED
UTL0000081,2025-01-01,10187,ESN700053,VT-JAA026,2.17,1,3.67,2,INSTALLED
UTL0000082,2025-01-01,10187,ESN700054,VT-JAA026,2.17,1,3.67,2,INSTALLED
