flight_id,flight_date,aircraft_registration,route_id,origin,destination,left_engine_serial_number,right_engine_serial_number,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_duration_min,block_hours,air_hours,flight_cycles,weather,delay_minutes,flight_status
1,2025-01-06,VT-JAA014,R039,HYD,AUH,ESN700030,ESN700031,2025-01-06 22:00:00,2025-01-06 23:12:00,2025-01-07 01:45:00,2025-01-07 02:57:00,225,3.75,3.75,1,STORM,72,DELAYED
2,2025-07-16,VT-JAA014,R052,CCU,DAC,ESN700030,ESN700031,2025-07-16 03:00:00,2025-07-16 03:00:00,2025-07-16 03:45:00,2025-07-16 03:45:00,45,0.75,0.75,1,CLEAR,0,COMPLETED
3,2025-04-08,VT-JAA022,R029,MAA,GOX,ESN700045,ESN700046,2025-04-08 21:00:00,2025-04-08 21:00:00,2025-04-08 22:30:00,2025-04-08 22:30:00,90,1.5,1.5,1,STORM,0,DELAYED
4,2025-11-25,VT-JAA001,R015,BOM,PNQ,ESN700001,ESN700002,2025-11-25 09:00:00,2025-11-25 09:28:00,2025-11-25 09:40:00,2025-11-25 10:08:00,40,0.6666666666666666,0.6666666666666666,1,CLOUDY,28,COMPLETED
5,2025-08-18,VT-JAA020,R043,DEL,KTM,ESN700041,ESN700042,2025-08-18 15:00:00,2025-08-18 15:00:00,2025-08-18 16:30:00,2025-08-18 16:30:00,90,1.5,1.5,1,CLOUDY,0,COMPLETED
6,2025-06-17,VT-JAA029,R008,DEL,COK,ESN700057,ESN700058,2025-06-17 17:00:00,2025-06-17 17:00:00,2025-06-17 20:10:00,2025-06-17 20:10:00,190,3.1666666666666665,3.1666666666666665,1,CLOUDY,0,COMPLETED
7,2025-10-24,VT-JAA026,R021,HYD,MAA,ESN700053,ESN700054,2025-10-24 03:00:00,2025-10-24 04:37:00,2025-10-24 04:00:00,2025-10-24 05:37:00,60,1.0,1.0,1,STORM,97,COMPLETED
8,2025-09-22,VT-JAA025,R039,HYD,AUH,ESN700051,ESN700052,2025-09-22 07:00:00,2025-09-22 07:54:00,2025-09-22 10:45:00,2025-09-22 11:39:00,225,3.75,3.75,1,STORM,54,DELAYED
9,2025-01-08,VT-JAA027,R058,MAA,KUL,ESN700055,ESN700056,2025-01-08 03:00:00,2025-01-08 03:00:00,2025-01-08 06:50:00,2025-01-08 06:50:00,230,3.8333333333333335,3.8333333333333335,1,STORM,0,COMPLETED
10,2025-06-21,VT-JAA023,R019,BLR,GOX,ESN700047,ESN700048,2025-06-21 09:00:00,2025-06-21 09:00:00,2025-06-21 10:00:00,2025-06-21 10:00:00,60,1.0,1.0,1,RAIN,0,COMPLETED
