,component_id,component_name,ata_chapter,engine_module,maintenance_type,life_unit,life_limit,repairable,serialized
0,CMP001,Fan Disk,72,Fan,LLP,FC,20000.0,YES,YES
1,CMP002,Fan Shaft,72,Fan,LLP,FC,30000.0,YES,YES
2,CMP003,Fan Blade Set,72,Fan,ON_CONDITION,,,YES,NO
3,CMP004,Fan Blade Platform,72,Fan,ON_CONDITION,,,YES,NO
4,CMP005,Fan Case,72,Fan,ON_CONDITION,,,YES,YES
5,CMP006,Spinner Cone,72,Fan,ON_CONDITION,,,YES,YES
6,CMP007,Booster Rotor,72,LPC,LLP,FC,22000.0,YES,YES
7,CMP008,Booster Blade Set,72,LPC,ON_CONDITION,,,YES,NO
8,CMP009,Booster Stator Assembly,72,LPC,ON_CONDITION,,,YES,YES
9,CMP010,Booster Case,72,LPC,ON_CONDITION,,,YES,YES
10,CMP011,HPC Stage 1 Disk,72,HPC,LLP,FC,18000.0,YES,YES
11,CMP012,HPC Stage 2 Disk,72,HPC,LLP,FC,18000.0,YES,YES
12,CMP013,HPC Stage 3 Disk,72,HPC,LLP,FC,18000.0,YES,YES
13,CMP014,HPC Stage 4 Disk,72,HPC,LLP,FC,18000.0,YES,YES
14,CMP015,HPC Stage 5 Disk,72,HPC,LLP,FC,18000.0,YES,YES
15,CMP016,HPC Rotor Shaft,72,HPC,LLP,FC,25000.0,YES,YES
16,CMP017,HPC Blade Set,72,HPC,ON_CONDITION,,,YES,NO
17,CMP018,Variable Stator Vane Assembly,75,HPC,ON_CONDITION,,,YES,YES
18,CMP019,HPC Case,72,HPC,ON_CONDITION,,,YES,YES
19,CMP020,Combustor Liner,72,Combustor,ON_CONDITION,,,YES,YES
20,CMP021,Fuel Nozzle Set,73,Combustor,ON_CONDITION,,,YES,NO
21,CMP022,Dome Assembly,72,Combustor,ON_CONDITION,,,YES,YES
22,CMP023,Swirler Assembly,72,Combustor,ON_CONDITION,,,YES,NO
23,CMP024,HPT Stage 1 Disk,72,HPT,LLP,FC,15000.0,YES,YES
24,CMP025,HPT Stage 2 Disk,72,HPT,LLP,FC,15000.0,YES,YES
25,CMP026,HPT Blade Set,72,HPT,ON_CONDITION,,,YES,NO
26,CMP027,HPT Nozzle Guide Vanes,72,HPT,ON_CONDITION,,,YES,NO
27,CMP028,HPT Shroud,72,HPT,ON_CONDITION,,,YES,YES
28,CMP029,LPT Shaft,72,LPT,LLP,FC,25000.0,YES,YES
29,CMP030,LPT Stage 1 Disk,72,LPT,LLP,FC,22000.0,YES,YES
30,CMP031,LPT Stage 2 Disk,72,LPT,LLP,FC,22000.0,YES,YES
31,CMP032,LPT Blade Set,72,LPT,ON_CONDITION,,,YES,NO
32,CMP033,LPT Nozzle Guide Vanes,72,LPT,ON_CONDITION,,,YES,NO
33,CMP034,Turbine Rear Frame,72,LPT,LLP,FC,30000.0,YES,YES
34,CMP035,Fuel Pump,73,Fuel System,HARD_TIME,FH,12000.0,YES,YES
35,CMP036,Hydromechanical Unit (HMU),73,Fuel System,ON_CONDITION,,,YES,YES
36,CMP037,Fuel Filter,73,Fuel System,ON_CONDITION,,,YES,YES
37,CMP038,Fuel Shutoff Valve,73,Fuel System,ON_CONDITION,,,YES,YES
38,CMP039,Fuel Manifold,73,Fuel System,ON_CONDITION,,,YES,YES
39,CMP040,Ignition Exciter,74,Ignition,HARD_TIME,FH,10000.0,YES,YES
40,CMP041,Igniter Plug A,74,Ignition,ON_CONDITION,,,YES,YES
41,CMP042,Igniter Plug B,74,Ignition,ON_CONDITION,,,YES,YES
42,CMP043,Variable Bleed Valve (VBV),75,Air System,ON_CONDITION,,,YES,YES
43,CMP044,VBV Actuator,75,Air System,ON_CONDITION,,,YES,YES
44,CMP045,High Stage Bleed Valve,75,Air System,ON_CONDITION,,,YES,YES
45,CMP046,Start Valve,75,Air System,ON_CONDITION,,,YES,YES
46,CMP047,Exhaust Nozzle,78,Exhaust,ON_CONDITION,,,YES,YES
47,CMP048,Exhaust Mixer,78,Exhaust,ON_CONDITION,,,YES,YES
48,CMP049,Oil Pump,79,Oil System,HARD_TIME,FH,18000.0,YES,YES
49,CMP050,Scavenge Pump,79,Oil System,HARD_TIME,FH,18000.0,YES,YES
50,CMP051,Oil Filter,79,Oil System,ON_CONDITION,,,YES,YES
51,CMP052,Oil Pressure Transmitter,79,Oil System,ON_CONDITION,,,YES,YES
52,CMP053,Oil Temperature Sensor,79,Oil System,ON_CONDITION,,,YES,YES
53,CMP054,EGT Thermocouple Harness,77,Engine Indicating,ON_CONDITION,,,YES,YES
54,CMP055,N1 Speed Sensor,77,Engine Indicating,ON_CONDITION,,,YES,YES
55,CMP056,N2 Speed Sensor,77,Engine Indicating,ON_CONDITION,,,YES,YES
56,CMP057,Vibration Sensor,77,Engine Indicating,ON_CONDITION,,,YES,YES
57,CMP058,Chip Detector,79,Oil System,ON_CONDITION,,,YES,YES
58,CMP059,Accessory Gearbox,72,Accessory Gearbox,ON_CONDITION,,,YES,YES
59,CMP060,Starter,80,Accessory Gearbox,HARD_TIME,FH,10000.0,YES,YES
60,CMP061,Integrated Drive Generator (IDG) Drive Pad,72,Accessory Gearbox,ON_CONDITION,,,YES,YES
61,CMP062,Hydraulic Pump Drive Pad,72,Accessory Gearbox,ON_CONDITION,,,YES,YES
