,route_id,origin,destination,distance_nm,typical_duration_min,route_type
0,R001,DEL,BOM,620,125,DOMESTIC
1,R002,DEL,BLR,940,170,DOMESTIC
2,R003,DEL,HYD,680,135,DOMESTIC
3,R004,DEL,MAA,950,170,DOMESTIC
4,R005,DEL,CCU,710,130,DOMESTIC
5,R006,DEL,AMD,420,90,DOMESTIC
6,R007,DEL,GOX,820,150,DOMESTIC
7,R008,DEL,COK,1115,190,DOMESTIC
8,R009,BOM,BLR,455,95,DOMESTIC
9,R010,BOM,HYD,335,80,DOMESTIC
10,R011,BOM,MAA,565,115,DOMESTIC
11,R012,BOM,CCU,900,160,DOMESTIC
12,R013,BOM,GOX,220,60,DOMESTIC
13,R014,BOM,AMD,240,60,DOMESTIC
14,R015,BOM,PNQ,65,40,DOMESTIC
15,R016,BLR,HYD,270,60,DOMESTIC
16,R017,BLR,MAA,155,50,DOMESTIC
17,R018,BLR,COK,200,55,DOMESTIC
18,R019,BLR,GOX,260,60,DOMESTIC
19,R020,BLR,VTZ,430,90,DOMESTIC
20,R021,HYD,MAA,275,60,DOMESTIC
21,R022,HYD,VTZ,285,60,DOMESTIC
22,R023,HYD,VGA,135,40,DOMESTIC
23,R024,HYD,CCU,650,120,DOMESTIC
24,R025,HYD,AMD,480,95,DOMESTIC
25,R026,MAA,COK,285,60,DOMESTIC
26,R027,MAA,TRV,330,65,DOMESTIC
27,R028,MAA,CCU,735,130,DOMESTIC
28,R029,MAA,GOX,455,90,DOMESTIC
29,R030,MAA,IXM,215,50,DOMESTIC
30,R031,CCU,GAU,280,60,DOMESTIC
31,R032,CCU,BBI,200,55,DOMESTIC
32,R033,CCU,PAT,255,60,DOMESTIC
33,R034,CCU,DEL,710,130,DOMESTIC
34,R035,CCU,VTZ,420,90,DOMESTIC
35,R036,DEL,DXB,1180,210,INTERNATIONAL
36,R037,BOM,DXB,1040,180,INTERNATIONAL
37,R038,BLR,SIN,1720,255,INTERNATIONAL
38,R039,HYD,AUH,1385,225,INTERNATIONAL
39,R040,MAA,CMB,350,75,INTERNATIONAL
40,R041,COK,DXB,1480,240,INTERNATIONAL
41,R042,CCU,DAC,130,45,INTERNATIONAL
42,R043,DEL,KTM,435,90,INTERNATIONAL
43,R044,BOM,MCT,855,150,INTERNATIONAL
44,R045,HYD,DXB,1370,220,INTERNATIONAL
0,R046,DEL,DXB,1180,210,INTERNATIONAL
1,R047,BOM,DXB,1040,180,INTERNATIONAL
2,R048,BLR,SIN,1720,255,INTERNATIONAL
3,R049,HYD,AUH,1385,225,INTERNATIONAL
4,R050,MAA,CMB,350,75,INTERNATIONAL
5,R051,COK,DXB,1480,240,INTERNATIONAL
6,R052,CCU,DAC,130,45,INTERNATIONAL
7,R053,DEL,KTM,435,90,INTERNATIONAL
8,R054,BOM,MCT,855,150,INTERNATIONAL
9,R055,HYD,DXB,1370,220,INTERNATIONAL
10,R056,DEL,BKK,1590,250,INTERNATIONAL
11,R057,CCU,BKK,875,145,INTERNATIONAL
12,R058,MAA,KUL,1425,230,INTERNATIONAL
13,R059,BLR,CMB,430,85,INTERNATIONAL
14,R060,DEL,DOH,1375,230,INTERNATIONAL
